"","AKOS.smile","CID","CanonicalSMILES","density.g.cm3","MW","AKOS","weight..g.","stored"
"405","OCCCCCC(=O)OCC",357781,"CCOC(=O)CCCCCO",,160.213,"009156692",,
"58","CC1CC(C)CC(C1)O",21584,"CC1CC(CC(C1)O)C",,128.215,"009156899",,
"75","CCC(C1CCCCC1)O",86535,"CCC(C1CCCCC1)O",,142.242,"009157140",,
"40","CC(C1CCCCC1)O",137829,"CC(C1CCCCC1)O",,128.215,"009157819",,
"56","CC1=CC(CCC1)O",89487,"CC1=CC(CCC1)O",,112.172,"009158570",,
"63","CC1CCCC(C1)(C)O",558957,"CC1CCCC(C1)(C)O",,128.215,"009996015",,
"66","CC1CCCCC1(C)O",164822,"CC1CCCCC1(C)O",,128.215,"009996121",,
"119","CCCCCC(=O)CC(=O)C(=O)OCC",12777406,"CCCCCC(=O)CC(=O)C(=O)OCC",,214.261,"010652650",,
"100","CCCCC(=O)CCC(=O)OCC",11830138,"CCCCC(=O)CCC(=O)OCC",,186.251,"010910401",,
"81","CCCC(=O)CCC(=O)OCC",12271529,"CCCC(=O)CCC(=O)OCC",,172.224,"010910511",,
"120","CCCCCC(=O)CCC(=O)OCC",12441329,"CCCCCC(=O)CCC(=O)OCC",,200.278,"010910614",,
"103","CCCCC(C(C)(C)C)O",140543,"CCCCC(C(C)(C)C)O",,144.258,"011018651",,
"39","CC(C1CCC(CC1)O)C",20739,"CC(C)C1CCC(CC1)O",,142.242,"012000610",,
"184","CCOC(=O)c1cc(F)c(c(c1)F)F",46311439,"CCOC(=O)C1=CC(=C(C(=C1)F)F)F",,204.148,"012488407",,
"240","CCOCCCCCC(=O)O",23190866,"CCOCCCCCC(=O)O",,160.213,"013620056",,
"136","CCCCCCC(CO)C",102495,"CCCCCCC(C)CO",,144.258,"013993199",,
"327","OC[C@@H]1CC[C@H](CC1)CO",7735,"C1CC(CCC1CO)CO",,144.214,"015833096",,
"147","CCCCCCCCC(C(=O)OCC)Br",95581,"CCCCCCCCC(C(=O)OCC)Br",,279.218,"015833920",,
"3","BrCCCCCCC(=O)OCC",122490,"CCOC(=O)CCCCCCBr",,237.137,"015836154",,
"4","BrCCCCCCCC(=O)OCC",264813,"CCOC(=O)CCCCCCCBr",,251.164,"015836156",,
"281","O[C@@H]1CC[C@H](CC1)C(C)(C)C",7391,"CC(C)(C)C1CCC(CC1)O",,156.269,"015837822",,
"278","O[C@@H]1CC[C@@H](CC1)C(C)(C)C",7391,"CC(C)(C)C1CCC(CC1)O",,156.269,"015837824",,
"49","CC(OC(=O)c1cccc(c1)B(O)O)C",2734363,"B(C1=CC(=CC=C1)C(=O)OC(C)C)(O)O",,208.02,"015838554",,
"315","OB(c1ccc(cc1)C(=O)OC(C)C)O",2734703,"B(C1=CC=C(C=C1)C(=O)OC(C)C)(O)O",,208.02,"015838560",,
"380","OCC/C=C\CC",5281167,"CCC=CCCO",,100.161,"015838970",,
"137","CCCCCCC/C=C/C=O",5283345,"CCCCCCCC=CC=O",,154.253,"015839092",,
"155","CCCCCCCCCCCCC/C=C/C(=O)O",5282743,"CCCCCCCCCCCCCC=CC(=O)O",,254.414,"015839097",,
"294","O=C(c1cccc(c1)B(O)O)OCc1ccccc1",2773249,"B(C1=CC(=CC=C1)C(=O)OCC2=CC=CC=C2)(O)O",,256.064,"015839321",,
"316","OB(c1ccc(cc1)C(=O)OCc1ccccc1)O",2773251,"B(C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2)(O)O",,256.064,"015839322",,
"173","CCCCOC(=O)CCCC",61137,"CCCCC(=O)OCCCC",,158.241,"015839693",,
"172","CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1",2347,"CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2",1.12,312.365,"015839717",,
"321","OC(=O)CCCCCCCCCCCCC(=O)O",13185,"C(CCCCCCC(=O)O)CCCCCC(=O)O",,258.358,"015839774",,
"159","CCCCCCCCCCCCCC(=O)OCC",31283,"CCCCCCCCCCCCCC(=O)OCC",,256.43,"015839783",,
"323","OC(=O)CCCCCCCCCCCCCCC(=O)O",10459,"C(CCCCCCCC(=O)O)CCCCCCC(=O)O",,286.412,"015839798",,
"93","CCCC/C=C\CCCCCCCCCC=O",5364495,"CCCCC=CCCCCCCCCCC=O",,238.415,"015839807",,
"94","CCCC/C=C\CCCCCCCCCCO",5283305,"CCCCC=CCCCCCCCCCCO",,240.431,"015839808",,
"89","CCCC/C=C/CCCCCCCCCCO",5352278,"CCCCC=CCCCCCCCCCCO",,240.431,"015839816",,
"151","CCCCCCCCCCC(=O)OCC",12327,"CCCCCCCCCCC(=O)OCC",,214.349,"015839824",,
"165","CCCCCCCCCCCCCCCCCCCC(=O)O",10467,"CCCCCCCCCCCCCCCCCCCC(=O)O",,312.538,"015839825",,
"409","OCCCCCCCCC=C",25612,"C=CCCCCCCCCO",,156.269,"015839841",,
"149","CCCCCCCCCC(=O)[O-].[Na+]",4457968,"CCCCCCCCCC(=O)[O-].[Na+]",,194.25,"015839877",,
"116","CCCCC/C=C\C/C=C\CCCCCCCCO",5365682,"CCCCCC=CCC=CCCCCCCCCO",,266.469,"015839888",,
"142","CCCCCCCC/C=C/CCCCCCCCO",5367665,"CCCCCCCCC=CCCCCCCCCO",,268.485,"015839897",,
"404","OCCCCC[C@H](CC)C",13548104,"CCC(C)CCCCCO",,144.258,"015840005",,
"401","OCCCC[C@H](CC)C",13218084,"CCC(C)CCCCO",,130.231,"015840006",,
