,AKOS.smile,CID,CanonicalSMILES,density.g.cm3,MW,AKOS,quantity (g),stored,,,
278,O[C@@H]1CC[C@@H](CC1)C(C)(C)C,7391,CC(C)(C)C1CCC(CC1)O,,156.269,15837824,,,,,
49,CC(OC(=O)c1cccc(c1)B(O)O)C,2734363,B(C1=CC(=CC=C1)C(=O)OC(C)C)(O)O,,208.02,15838554,,,,,
315,OB(c1ccc(cc1)C(=O)OC(C)C)O,2734703,B(C1=CC=C(C=C1)C(=O)OC(C)C)(O)O,,208.02,15838560,,,,,
380,OCC/C=C\CC,5281167,CCC=CCCO,,100.161,15838970,0.01000,fridge,,,
137,CCCCCCC/C=C/C=O,5283345,CCCCCCCC=CC=O,,154.253,15839092,0.01000,fridge,,,
155,CCCCCCCCCCCCC/C=C/C(=O)O,5282743,CCCCCCCCCCCCCC=CC(=O)O,,254.414,15839097,,,,,
294,O=C(c1cccc(c1)B(O)O)OCc1ccccc1,2773249,B(C1=CC(=CC=C1)C(=O)OCC2=CC=CC=C2)(O)O,,256.064,15839321,,,,,
316,OB(c1ccc(cc1)C(=O)OCc1ccccc1)O,2773251,B(C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2)(O)O,,256.064,15839322,,,,,
173,CCCCOC(=O)CCCC,61137,CCCCC(=O)OCCCC,,158.241,15839693,0.01000,,,,
172,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,1.12,312.365,15839717,0.01000,fridge,,,
321,OC(=O)CCCCCCCCCCCCC(=O)O,13185,C(CCCCCCC(=O)O)CCCCCC(=O)O,,258.358,15839774,,,,,
159,CCCCCCCCCCCCCC(=O)OCC,31283,CCCCCCCCCCCCCC(=O)OCC,,256.43,15839783,1.00000,,,,
323,OC(=O)CCCCCCCCCCCCCCC(=O)O,10459,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,,286.412,15839798,0.01000,fridge,,,
93,CCCC/C=C\CCCCCCCCCC=O,5364495,CCCCC=CCCCCCCCCCC=O,,238.415,15839807,,,,,
94,CCCC/C=C\CCCCCCCCCCO,5283305,CCCCC=CCCCCCCCCCCO,,240.431,15839808,,,,,
