X,CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW,csid,density
174,12768714,CCCCCCC=C(C)C(C)O,24263050,,NA,170.296,29786090,0.8
175,5367410,CCCCCC=CC=CC=C,24263056,,NA,150.265,4518922,0.8
176,58361173,CCCCCC=CCC=CC,24263058,,NA,152.281,4935015,0.8
177,10012561,CCCCC=CC(C(F)(F)F)O,24263117,,NA,182.186,8188135,1.1
178,84820355,CCCCC(C=CCO[Si](C)(C)C(C)(C)C)O,24263164,,NA,258.477,29786103,0.9
179,13355478,CC#CCCCCCCCC(=O)OC,24264137,,NA,196.29,34965770,0.9
180,12276242,CCCCCCC=CC=C,24264252,,NA,138.254,4934972,0.8
181,5365770,CCCCCCC=CC(C)O,24264260,,NA,156.269,4517718,0.8
182,5352493,CCCCCCC=CCCO,24264262,,NA,156.269,4509366,0.8
183,84820829,CC(=CCCC1(CCCC(C1)(C)C)C)CO,24264291,,NA,224.388,53608294,0.9
184,15695189,CC1(C2CC(C(=C)C1C2)CO)C,24264293,,NA,166.264,34965931,1.0
185,66743,CCOC(=O)C1=CC=C(C=C1)C,5198691,,NA,164.204,60109,1.0
186,144790,CCOC(=O)C1=CC(=CC=C1)C(F)(F)F,5257791,,NA,218.175,127743,1.2
187,79509,CC(CO)C1CCCCC1,6228465,,NA,142.242,71819,0.9
188,13489923,CCOC(=O)C1=CC(=C(C=C1)C)F,9147067,,NA,182.194,11487649,1.1
189,558957,CC1CCCC(C1)(C)O,9996015,,NA,128.215,485905,0.9
190,11830138,CCCCC(=O)CCC(=O)OCC,10910401,,NA,186.251,10004785,1.0
191,12271529,CCCC(=O)CCC(=O)OCC,10910511,,NA,172.224,13510152,1.0
192,20739,CC(C)C1CCC(CC1)O,12000610,,NA,142.242,19528,0.9
193,23190866,CCOCCCCCC(=O)O,13620056,,NA,160.213,28537281,1.0
194,102495,CCCCCCC(C)CO,13993199,,NA,144.258,92570,0.8
195,61137,CCCCC(=O)OCCCC,15839693,,NA,158.241,55084,0.9
196,97948,CCCCC(CC)CCC(CC(C)C)O,16009845,,NA,214.393,88421,0.8
197,11745391,CC(C)CCC(CO)(CO)C(C)C,16844938,,NA,188.311,9920095,0.9
